Sample,Order,number,,,,,,,,,
0492_FGL_Met52_POST_LO,acari,1,,,,,,,,,
0493_FGL_Met52_POST_Li,coleoptera,3,,,,,,,,,
0493_FGL_Met52_POST_Li,hymenoptera,3,,,,,,,,,
0493_FGL_Met52_POST_Li,isopoda,1,,,,,,,,,
0493_FGL_Met52_POST_Li,collembola,10,,,,,,,,,
0493_FGL_Met52_POST_Li,Oribatida,8,,,,,,,,,
0493_FGL_Met52_POST_Li,pseudoscorpiionidae,1,,,,,,,,,
0493_FGL_Met52_POST_Li,diptera,1,,,,,,,,,
0493_FGL_Met52_POST_Li,aranae,2,,,,,,,,,
0494_FGL_Met52_POST_FI,isopoda,4,,,,,,,,,
0494_FGL_Met52_POST_FI,hymenoptera,2,,,,,,,,,
0494_FGL_Met52_POST_FI,collembola,7,,,,,,,,,
0494_FGL_Met52_POST_FI,coleoptera,3,,,,,,,,,
0494_FGL_Met52_POST_FI,acari,5,,,,,,,,,
0494_FGL_Met52_POST_FI,Oribatida,13,,,,,,,,,
0494_FGL_Met52_POST_FI,aranae,2,,,,,,,,,
0494_FGL_Met52_POST_FI,diptera,1,,,,,,,,,
0494_FGL_Met52_POST_FI,orthoptera,1,,,,,,,,,
0495_FGL_Met52_POST_FO,isopoda,3,,,,,,,,,
0495_FGL_Met52_POST_FO,orthoptera,1,,,,,,,,,
0495_FGL_Met52_POST_FO,platydesmida,1,,,,,,,,,
0495_FGL_Met52_POST_FO,coleoptera,5,,,,,,,,,
